,Symbol,Corp. Title,TSE URL,Group Name
40,لپیامح,ح.گسترش صنایع پیام (لپیامح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=21903271801994876,ساخت دستگاه‌ها و وسايل ارتباطي
41,غمارگح,ح . مارگارین‌ (غمارگح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=50773402681099358,محصولات غذايي و آشاميدني به جز قند و شكر
42,خمهرح,ح . مهرکام‌پارس‌ (خمهرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=50722377181482963,خودرو و ساخت قطعات
43,فپنتا,سپنتا (فپنتا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=68488673556087148,فلزات اساسي
44,تلیسه,دامداری تلیسه نمونه (تلیسه),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41781090739318251,زراعت و خدمات وابسته
45,دسبحاح,ح .گروه دارویی سبحان (دسبحاح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=51063357877632134,مواد و محصولات دارويي
46,وکارح,ح . بانک‌ کارآفرین‌ (وکارح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=56772105873719945,بانكها و موسسات اعتباري
47,ورناح,ح . سرمایه‌گذاری‌ رنا(هلدینگ‌ (ورناح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=55274159604040834,خودرو و ساخت قطعات
48,دامینح,ح . داروسازی‌ امین‌ (دامینح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41673962293011307,مواد و محصولات دارويي
49,رمپناح,ح. گروه مپنا (سهامی عام) (رمپناح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=49532101082369992,خدمات فني و مهندسي
50,خکار,ایرکا پارت صنعت (خکار),http://tsetmc.com/Loader.aspx?ParTree=151311&i=59217041815333317,خودرو و ساخت قطعات
51,کپشیرح,ح . پشم‌شیشه‌ایران‌ (کپشیرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=5920319552619760,ساير محصولات كاني غيرفلزي
52,ثقزوی,شرکت عمران و سازندگی قزوین (ثقزوی),http://tsetmc.com/Loader.aspx?ParTree=151311&i=12965822877128721,انبوه سازي، املاك و مستغلات
53,خاورح,ح . ایران خودرو دیزل (خاورح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=23657236334749347,خودرو و ساخت قطعات
54,لپیام,گسترش صنایع پیام (لپیام),http://tsetmc.com/Loader.aspx?ParTree=151311&i=793710053482057,ساخت دستگاه‌ها و وسايل ارتباطي
55,زکوثر,سرمایه گذاری کشاورزی کوثر (زکوثر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=42599305106713939,زراعت و خدمات وابسته
56,دقاضی,داروسازی شهید قاضی (دقاضی),http://tsetmc.com/Loader.aspx?ParTree=151311&i=64289770858657141,مواد و محصولات دارويي
57,نطرین,عطرین نخ قم (نطرین),http://tsetmc.com/Loader.aspx?ParTree=151311&i=64699417405634265,منسوجات
58,قصفهاح,ح . قنداصفهان‌ (قصفهاح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=17197203950543191,قند و شكر
59,غسالمح,ح . ‌سالمین‌ (غسالمح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=48926251886441092,محصولات غذايي و آشاميدني به جز قند و شكر
60,فردا,صندوق س آوای فردای زاگرس,http://tsetmc.com/Loader.aspx?ParTree=151311&i=65249046611427924,صندوق سرمايه گذاري قابل معامله
61,وایران,لیزینگ ایرانیان (وایران),http://tsetmc.com/Loader.aspx?ParTree=151311&i=3149396562827132,ساير واسطه گريهاي مالي
62,کفپارسح,ح . فرآورده‌های‌ نسوز پارس‌ (کفپارسح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=65836038919989820,ساير محصولات كاني غيرفلزي
63,رنیک,جنرال مکانیک (رنیک),http://tsetmc.com/Loader.aspx?ParTree=151311&i=33854964748757477,خدمات فني و مهندسي
64,کساپا,سایپاشیشه‌ (کساپا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=28325731560106431,ساير محصولات كاني غيرفلزي
65,فخوزح,ح . فولاد خوزستان (فخوزح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=13628968289488697,فلزات اساسي
66,نمرینو,ایران‌ مرینوس‌ (نمرینو),http://tsetmc.com/Loader.aspx?ParTree=151311&i=30231789123900526,منسوجات
67,چخزر,صنایع چوب خزر کاسپین (چخزر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41122066907413786,محصولات چوبي
68,تکشاح,ح . صنایع‌وخدمات‌کشاورزی‌ (تکشاح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=66191028275418950,ماشين آلات و تجهيزات
69,رتکوح,ح . کنترل‌خوردگی‌تکین‌کو (رتکوح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=1723099959084685,خدمات فني و مهندسي
70,غدامح,ح . خوراک‌ دام‌ پارس‌ (غدامح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=52139501202126140,محصولات غذايي و آشاميدني به جز قند و شكر
71,سرود,سیمان‌شاهرود (سرود),http://tsetmc.com/Loader.aspx?ParTree=151311&i=11964419322927535,سيمان، آهك و گچ
72,ثاباد,توریستی ورفاهی آبادگران ایران (ثاباد),http://tsetmc.com/Loader.aspx?ParTree=151311&i=59612098290740355,انبوه سازي، املاك و مستغلات
73,پکیانح,ح . لاستیک‌البرز (پکیانح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41189775395878190,لاستيك و پلاستيك
74,ثالوند,سرمایه گذاری مسکن الوند (ثالوند),http://tsetmc.com/Loader.aspx?ParTree=151311&i=16693610252404739,انبوه سازي، املاك و مستغلات
75,قشکرح,ح . ‌ شکرشاهرود (قشکرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=20381036241470518,قند و شكر
76,خزامیا,زامیاد (خزامیا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=2589887561569709,خودرو و ساخت قطعات
77,کرماشاح,ح. صنایع پتروشیمی کرمانشاه (کرماشاح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=66733343177003497,محصولات شيميايي
78,شبهرن,نفت‌ بهران‌ (شبهرن),http://tsetmc.com/Loader.aspx?ParTree=151311&i=22667016906590506,فراورده هاي نفتي، كك و سوخت هسته اي
79,اروند,پتروشیمی اروند (اروند),http://tsetmc.com/Loader.aspx?ParTree=151311&i=58356374066358100,محصولات شيميايي
80,شسپا,نفت سپاهان (شسپا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=49188729526980541,فراورده هاي نفتي، كك و سوخت هسته اي
81,ثفارسح,ح . عمران‌وتوسعه‌فارس‌ (ثفارسح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=39191249877936167,انبوه سازي، املاك و مستغلات
82,خکمکح,ح . کمک‌فنرایندامین‌ (خکمکح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=1852132120586484,خودرو و ساخت قطعات
83,شراز,پالایش نفت شیراز (شراز),http://tsetmc.com/Loader.aspx?ParTree=151311&i=33683240001985963,فراورده هاي نفتي، كك و سوخت هسته اي
84,وبصادر,بانک صادرات ایران (وبصادر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=28320293733348826,بانكها و موسسات اعتباري
85,ختراک,ریخته‌گری‌ تراکتورسازی‌ ایران‌ (ختراک),http://tsetmc.com/Loader.aspx?ParTree=151311&i=22903901709044823,خودرو و ساخت قطعات
86,وآوا,سرمایه گذاری آوا نوین (وآوا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=22490169030401337,سرمايه گذاريها
87,خفنر,فنرسازی‌خاور (خفنر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=28033133021443774,خودرو و ساخت قطعات
88,زبینا,کشاورزی و دامپروری بینالود (زبینا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=54482686501491508,زراعت و خدمات وابسته
89,دارا,صندوق س. دارا الگوریتم,http://tsetmc.com/Loader.aspx?ParTree=151311&i=62012736978844991,صندوق سرمايه گذاري قابل معامله
90,آرمانح,ح.بیمه آرمان (آرمانح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41024100982486985,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
91,شبندر,پالایش نفت بندرعباس (شبندر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=35366681030756042,فراورده هاي نفتي، كك و سوخت هسته اي
92,قچار,فراوردههای غذایی وقند چهارمحال (قچار),http://tsetmc.com/Loader.aspx?ParTree=151311&i=23600798892801694,قند و شكر
93,خموتور,موتورسازان‌تراکتورسازی‌ایران‌ (خموتور),http://tsetmc.com/Loader.aspx?ParTree=151311&i=57273529732791251,خودرو و ساخت قطعات
94,نهال,صندوق س. طلای سرخ نوویرا (نهال),http://tsetmc.com/Loader.aspx?ParTree=151311&i=12913156843322499,صندوق سرمايه گذاري قابل معامله
95,خودکفا,اقتصادی و خودکفایی آزادگان (خودکفا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=22956708386610464,محصولات غذايي و آشاميدني به جز قند و شكر
96,سشمال,سیمان‌ شمال‌ (سشمال),http://tsetmc.com/Loader.aspx?ParTree=151311&i=6757220448540984,سيمان، آهك و گچ
97,خبهمنح,ح . گروه‌بهمن‌ (خبهمنح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=12964716133621704,خودرو و ساخت قطعات
98,شزنگح,ح.تجهیزنیروی‌زنگان‌ (شزنگح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=51425045171148290,فراورده هاي نفتي، كك و سوخت هسته اي
99,سخاشح,ح . سیمان‌خاش‌ (سخاشح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=15467183288337240,سيمان، آهك و گچ
100,فرومح,ح . تولیدفرومولیبدن‌کرمان‌ (فرومح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=22314977867866119,فلزات اساسي
101,آکنتورح,ح . کنتورسازی‌ایران‌ (آکنتورح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=57329318081089375,ابزارپزشكي، اپتيكي و اندازه‌گيري
102,بورس,بورس اوراق بهادار تهران (بورس),http://tsetmc.com/Loader.aspx?ParTree=151311&i=60523145697836739,فعاليتهاي كمكي به نهادهاي مالي واسط
103,خعمرا,توسعه و عمران شهرستان نائین (خعمرا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=6433335428452486,خودرو و ساخت قطعات
104,ثعمرا,عمران و توسعه شاهد (ثعمرا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=15726796686853780,انبوه سازي، املاك و مستغلات
105,تملتح,ح . تامین سرمایه بانک ملت (تملتح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=33666678504801754,فعاليتهاي كمكي به نهادهاي مالي واسط
106,کاوهح,ح .فولاد کاوه جنوب کیش (کاوهح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=59525964192678026,فلزات اساسي
107,وبشهرح,ح . صنایع‌ بهشهر(هلدینگ (وبشهرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=62275280734625819,محصولات غذايي و آشاميدني به جز قند و شكر
108,وپترو,سرمایه‌گذاری صنایع پتروشیمی‌ (وپترو),http://tsetmc.com/Loader.aspx?ParTree=151311&i=59486059679335017,محصولات شيميايي
109,فسدید,لوله‌وتجهیزات‌ سدید,http://tsetmc.com/Loader.aspx?ParTree=151311&i=20966291817819448,فلزات اساسي
110,سغدیر,توسعه سرمایه و صنعت غدیر (سغدیر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=21096748051392414,سيمان، آهك و گچ
111,فاذرح,ح . صنایع‌ آذرآب‌ (فاذرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=68708769838923502,ساخت محصولات فلزي
112,وسیلام,شرکت س استان ایلام (وسیلام),http://tsetmc.com/Loader.aspx?ParTree=151311&i=59652306881376415,سرمايه گذاريها
113,کاذرح,ح . فرآورده‌های‌نسوزآذر (کاذرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=25896842749407120,ساير محصولات كاني غيرفلزي
114,اوان,مبین وان کیش (اوان),http://tsetmc.com/Loader.aspx?ParTree=151311&i=69847139870135237,اطلاعات و ارتباطات
115,وآتوس,س.آرین توسکا قیمت اسمی 350ریال (وآتوس),http://tsetmc.com/Loader.aspx?ParTree=151311&i=17269972595370241,سرمايه گذاريها
116,وسخراج,شرکت س استان خراسان جنوبی (وسخراج),http://tsetmc.com/Loader.aspx?ParTree=151311&i=10191122735393627,سرمايه گذاريها
117,وساختح,ح . سرمایه‌ گذاری‌ ساختمان‌ (وساختح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=3679885359158219,انبوه سازي، املاك و مستغلات
118,سصفهاح,ح . سیمان‌اصفهان‌ (سصفهاح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41026060125059078,سيمان، آهك و گچ
119,وسکهبو,س.عدالت ا. کهگیلویه وبویراحمد (وسکهبو),http://tsetmc.com/Loader.aspx?ParTree=151311&i=68870496728320072,سرمايه گذاريها
120,وسلرستا,شرکت س استان لرستان (وسلرستا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=58358543014279572,سرمايه گذاريها
121,دبالکح,ح.مواد اولیه دارویی البرز بالک (دبالکح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=11372565594192822,مواد و محصولات دارويي
122,فگستر,گسترش صنایع روی ایرانیان (فگستر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=8725363201030474,فلزات اساسي
123,وسیستا,شرکت س استان سیستان وبلوچستان (وسیستا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=16370154440238855,سرمايه گذاريها
124,دکوثرح,ح . داروسازی‌ کوثر (دکوثرح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=26314668128957507,مواد و محصولات دارويي
125,شیران,س. صنایع‌شیمیایی‌ایران (شیران),http://tsetmc.com/Loader.aspx?ParTree=151311&i=35796086458096255,محصولات شيميايي
126,وسکابح,ح.س.ص.بازنشستگی کارکنان بانکها (وسکابح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=5818838554339991,سرمايه گذاريها
127,کویر,تولیدی فولاد سپید فراب کویر (کویر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=43545527030854340,فلزات اساسي
128,آتیمس,صندوق س.آرمان آتیه درخشان مس,http://tsetmc.com/Loader.aspx?ParTree=151311&i=22839330962768817,صندوق سرمايه گذاري قابل معامله
129,زاگرس,پتروشیمی زاگرس (زاگرس),http://tsetmc.com/Loader.aspx?ParTree=151311&i=13235547361447092,محصولات شيميايي
130,فجوش,جوش‌ و اکسیژن‌ ایران‌ (فجوش),http://tsetmc.com/Loader.aspx?ParTree=151311&i=64485827086284311,ساخت محصولات فلزي
131,کرماشا,صنایع پتروشیمی کرمانشاه (کرماشا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=38437201078089290,محصولات شيميايي
132,ثنوسا,نوسازی‌وساختمان‌تهران‌ (ثنوسا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=32845891587040106,انبوه سازي، املاك و مستغلات
133,شساخت,مهندسی و ساختمان صنایع نفت (شساخت),http://tsetmc.com/Loader.aspx?ParTree=151311&i=15282093177363578,استخراج نفت گاز و خدمات جنبي جز اكتشاف
134,خموتورح,ح . موتورسازان‌تراکتورسازی‌ (خموتورح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=62221150547292335,خودرو و ساخت قطعات
135,کیمیا,معدنی کیمیای زنجان گستران (کیمیا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=27814844870305607,فلزات اساسي
136,دروز,داروسازی‌ روزدارو (دروز),http://tsetmc.com/Loader.aspx?ParTree=151311&i=40262275031537922,مواد و محصولات دارويي
137,آرمان,بیمه آرمان (آرمان),http://tsetmc.com/Loader.aspx?ParTree=151311&i=38738476064699383,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
138,سصوفیح,ح . سیمان‌ صوفیان‌ (سصوفیح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=2819110578357790,سيمان، آهك و گچ
139,شیرانح,ح . س. صنایع‌شیمیایی‌ایران‌ (شیرانح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=8992202615765020,محصولات شيميايي
140,دبالک,مواد اولیه دارویی البرز بالک (دبالک),http://tsetmc.com/Loader.aspx?ParTree=151311&i=71510396252618330,مواد و محصولات دارويي
141,الماس,صندوق س.امین تدبیرگران فردا,http://tsetmc.com/Loader.aspx?ParTree=151311&i=28788598290160782,صندوق سرمايه گذاري قابل معامله
142,آبین,کشت و صنعت آبشیرین (آبین),http://tsetmc.com/Loader.aspx?ParTree=151311&i=9987529074833218,زراعت و خدمات وابسته
143,پدنا,تولیدی‌لاستیک‌دنا (پدنا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=58120226425289272,لاستيك و پلاستيك
144,شگل,گلتاش‌ (شگل),http://tsetmc.com/Loader.aspx?ParTree=151311&i=44153164692325703,محصولات شيميايي
145,قثابت,قند ثابت‌ خراسان‌ (قثابت),http://tsetmc.com/Loader.aspx?ParTree=151311&i=44967158778304588,قند و شكر
146,کمیناح,ح . شیشه سازی مینا (کمیناح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=68890878790107680,ساير محصولات كاني غيرفلزي
147,کیمیاتک,آریان کیمیا تک (کیمیاتک),http://tsetmc.com/Loader.aspx?ParTree=151311&i=39884565732277052,محصولات شيميايي
148,غشاذر,پگاه‌آذربایجان‌غربی‌ (غشاذر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=59921975187856916,محصولات غذايي و آشاميدني به جز قند و شكر
149,داروح,ح . کارخانجات‌داروپخش (داروح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=2501017203331667,مواد و محصولات دارويي
150,لمخابر,صنایع‌مخابراتی‌راه‌دورایران‌ (لمخابر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=36774567041364173,ساخت دستگاه‌ها و وسايل ارتباطي
151,دسبحا,گروه دارویی سبحان (دسبحا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=43622578471330344,مواد و محصولات دارويي
152,فولاژح,ح.فولاد آلیاژی ایران (فولاژح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=53249498382937694,فلزات اساسي
153,شیراز,پتروشیمی‌شیراز (شیراز),http://tsetmc.com/Loader.aspx?ParTree=151311&i=38568786927478796,محصولات شيميايي
154,غبهنوشح,ح . بهنوش‌ ایران‌ (غبهنوشح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=38770731314949641,محصولات غذايي و آشاميدني به جز قند و شكر
155,وآردل,سرمایه‌گذاری‌کارآفرین‌(هلدینگ‌ (وآردل),http://tsetmc.com/Loader.aspx?ParTree=151311&i=29244787813932382,ماشين آلات و تجهيزات
156,فن آوا,گروه فن آوا (فن آوا),http://tsetmc.com/Loader.aspx?ParTree=151311&i=55201604487356053,رايانه و فعاليت‌هاي وابسته به آن
157,کحافظح,ح . کاشی‌ وسرامیک‌ حافظ‌ (کحافظح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=29075808594290931,كاشي و سراميك
158,فروی,ذوب روی اصفهان (فروی),http://tsetmc.com/Loader.aspx?ParTree=151311&i=29974853866926823,فلزات اساسي
159,کبافقح,ح . معادن‌ بافق‌ (کبافقح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=40029719755707991,استخراج كانه هاي فلزي
160,مداران,داده‌پردازی‌ایران‌ (مداران),http://tsetmc.com/Loader.aspx?ParTree=151311&i=65999092673039059,رايانه و فعاليت‌هاي وابسته به آن
161,وآذر,سرمایه‌گذاری‌توسعه‌آذربایجان‌ (وآذر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=1358190916156744,انبوه سازي، املاك و مستغلات
162,خبهمن,گروه‌بهمن‌ (خبهمن),http://tsetmc.com/Loader.aspx?ParTree=151311&i=26824673819862694,خودرو و ساخت قطعات
163,پالایش,صندوق پالایشی یکم,http://tsetmc.com/Loader.aspx?ParTree=151311&i=67675656072510693,صندوق سرمايه گذاري قابل معامله
164,ختراکح,ح . ریخته‌گری‌ تراکتورسازی‌ (ختراکح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41858326436945277,خودرو و ساخت قطعات
165,خگستر,گسترش‌سرمایه‌گذاری‌ایران‌خودرو (خگستر),http://tsetmc.com/Loader.aspx?ParTree=151311&i=48990026850202503,خودرو و ساخت قطعات
166,فاراک,ماشین‌ سازی‌ اراک‌ (فاراک),http://tsetmc.com/Loader.aspx?ParTree=151311&i=20865316761157979,ساخت محصولات فلزي
167,وملی,گروه‌ صنعتی‌ ملی‌ (هلدینگ‌ (وملی),http://tsetmc.com/Loader.aspx?ParTree=151311&i=41796741644273824,دباغي، پرداخت چرم و ساخت انواع پاپوش
168,ونفت,سرمایه‌گذاری‌ صنعت‌ نفت‌ (ونفت),http://tsetmc.com/Loader.aspx?ParTree=151311&i=33931218652865616,فراورده هاي نفتي، كك و سوخت هسته اي
169,غکورش,صنعت غذایی کورش (غکورش),http://tsetmc.com/Loader.aspx?ParTree=151311&i=62404730109947970,محصولات غذايي و آشاميدني به جز قند و شكر
170,کچاد,معدنی‌وصنعتی‌چادرملو (کچاد),http://tsetmc.com/Loader.aspx?ParTree=151311&i=18027801615184692,استخراج كانه هاي فلزي
171,فپارسح,ح . آلومینیم‌ پارس‌ (فپارسح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=45801323230963889,فلزات اساسي
172,فمتالح,ح . پارس‌ متال‌ (فمتالح),http://tsetmc.com/Loader.aspx?ParTree=151311&i=1518157759350339,فلزات اساسي
